Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
554,D,Dd;E,Zappacosta,Atalanta,8,8,0,8,8,0,19,19,0.07202775031328201,,,0.08158225566148758,1264.41552734375,0.7522628903388977
4734,D,Ds;E,Miranda J.,Bologna,8,8,0,8,8,0,23,23,0.07039127498865128,,,0.03585447371006012,1363.9744873046875,0.9608545899391174
4657,D,B;Dd;E,Celik,Juventus,8,8,0,9,9,0,16,18,0.03195307031273842,,,0.035219114273786545,1308.73095703125,0.7517520785331726
5520,D,Dd;Ds;E,Cambiaso,Juventus,8,9,-1,9,10,-1,18,21,0.06647010892629623,,,0.04631233587861061,1376.287841796875,0.7915071845054626
6320,D,Dc,Doekhi,Lazio,8,7,1,8,7,1,16,16,0.050956908613443375,,,0.050225477665662766,1479.7152099609375,0.7752900123596191
6989,D,Dc,Tiago Gabriel,Lecce,8,7,1,8,7,1,20,20,0.020354773849248886,,,0.02358360029757023,1354.602294921875,0.456344872713089
6496,D,Ds;E,Bartesaghi,Milan,8,8,0,8,8,0,22,22,0.020231135189533234,,,0.023806363344192505,1276.25341796875,0.38190144300460815
1852,D,Ds;E,Spinazzola,Napoli,8,8,0,8,8,0,25,25,0.05631626769900322,,,0.0379304476082325,1166.0692138671875,0.4942929446697235
6664,D,B;Dd;E,Delprato,Parma,8,8,0,8,8,0,21,24,0.019278522580862045,,,0.023694785311818123,1290.958740234375,0.41386136412620544
5862,D,Ds;E,Valeri,Parma,8,8,0,8,8,0,22,22,0.07979824393987656,,,0.04904836043715477,1380.629150390625,0.7601824998855591
7529,D,Dc,Koulierakis,Roma,8,8,0,8,8,0,15,15,0.04909287765622139,,,0.035385698080062866,1383.86083984375,0.4575481712818146
6495,D,Dc,Comuzzo,Torino,8,6,2,8,6,2,13,13,0.02749902382493019,,,0.03273028880357742,1213.162109375,0.46332037448883057
6727,D,Dd;E,Couto,Como,8,8,0,8,8,0,25,25,0.08186742663383484,,,0.04468749463558197,1083.11669921875,1.0323421955108643
5675,D,Ds;Dc,Theate,Bologna,8,8,0,9,9,0,20,22,0.030689114704728127,,,0.034858498722314835,1395.925048828125,0.7797818779945374
4137,D,Dc,Diego Carlos,Parma,8,8,0,8,8,0,26,26,0.02640582248568535,,,0.03661812096834183,1146.6949462890625,0.8117356896400452
6046,D,Dc,Hien,Atalanta,7,8,-1,7,8,-1,11,11,0.02967733144760132,,,0.033224254846572876,1288.82470703125,0.6161840558052063
6042,D,Dc,Lucumì,Juventus,7,8,-1,7,8,-1,17,17,0.024556424468755722,,,0.03216121345758438,1438.6644287109375,0.727279543876648
4433,D,Dd;E,Zortea,Bologna,7,6,1,7,6,1,19,19,0.053579721599817276,,,0.04288563132286072,1272.8790283203125,0.7630173563957214
4210,D,Dc,Mina,Cagliari,7,8,-1,7,8,-1,20,20,0.046267494559288025,,,0.03579377755522728,1568.2081298828125,0.7017265558242798
5701,D,B;Ds;E,Obert,Cagliari,7,7,0,7,7,0,15,17,0.04145875200629234,,,0.037837326526641846,1326.4407958984375,0.6158893704414368
5365,D,Dc,Dragusin,Fiorentina,7,8,-1,7,8,-1,20,20,0.014440354891121387,,,0.030352717265486717,1085.7100830078125,0.6077589988708496
6531,D,Dd;Ds;E,Jimenez A.,Fiorentina,7,8,-1,8,9,-1,18,21,0.06290280818939209,,,0.05532142147421837,1004.5293579101562,0.7374445199966431
7469,D,Ds;Dc,Bracaglia,Frosinone,7,5,2,7,5,2,15,17,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
5620,D,Ds;E,Tavares N.,Lazio,7,6,1,7,6,1,25,25,0.05385402962565422,,,0.066248819231987,1150.0635986328125,0.8571606874465942
4401,D,Dc,Gabbia,Milan,7,7,0,7,7,0,15,15,0.028705138713121414,,,0.04335656762123108,1323.8876953125,0.7172750234603882
7485,D,Ds;E,Mangas,Monza,7,6,1,7,6,1,15,15,0.04153753072023392,,,0.0572098046541214,1118.470458984375,0.6883454918861389
6672,D,Dc,Idzes,Sassuolo,7,7,0,7,7,0,19,19,0.01770046353340149,,,0.03628380596637726,1493.8126220703125,0.602414608001709
6642,D,Dc,Coco,Torino,7,7,0,7,7,0,14,14,0.02602912113070488,,,0.024307984858751297,1377.125732421875,0.8222750425338745
5010,D,Dc,Ismajli,Torino,7,7,0,7,7,0,13,13,0.02481544017791748,,,0.024988973513245583,1335.2318115234375,0.7580130100250244
4664,D,Dc,Badiashile,Napoli,7,7,0,7,7,0,18,18,0.02283666655421257,,,0.023694632574915886,1109.40576171875,0.9321979284286499
7580,D,Dc,Sutalo J.,Lazio,7,7,0,7,7,0,19,19,0.019396305084228516,,,0.04098626226186752,1316.3858642578125,0.6513364315032959
7220,D,Dd;E,Belghali,Torino,7,7,0,7,7,0,20,20,0.0419471338391304,,,0.0944104939699173,1245.7554931640625,0.529984712600708
2640,D,Ds;Dc,Kolasinac,Atalanta,6,5,1,7,6,1,8,10,0.03098032809793949,,,0.03314400091767311,1155.3712158203125,0.6376631855964661
4887,D,Dd;E,Bellanova,Atalanta,6,6,0,6,6,0,17,17,0.061359379440546036,,,0.04110747203230858,1234.71728515625,0.8364660143852234
7219,D,Ds;E,Bernasconi,Atalanta,6,6,0,6,6,0,18,18,0.024096783250570297,,,0.023920200765132904,1143.588134765625,0.42047280073165894
7212,D,Ds;Dc,Heggem,Bologna,6,6,0,6,7,-1,15,17,0.015074879862368107,,,0.021896738559007645,1215.2484130859375,0.3301852345466614
5678,D,Dd;E,Holm,Bologna,6,5,1,6,5,1,13,13,0.08211132138967514,,,0.05734673887491226,1082.6336669921875,0.8079359531402588
7414,D,Ds;E,Kaiki,Como,6,7,-1,6,7,-1,13,13,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
6867,D,Ds;E,Valle,Como,6,6,0,6,6,0,21,21,0.07116501033306122,,,0.06321527063846588,1156.61376953125,0.6538238525390625
7410,D,Ds;Dc,Viery,Fiorentina,6,6,0,7,7,0,12,14,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
4952,D,Dc,Monterisi,Frosinone,6,6,0,6,6,0,13,13,0.03523886576294899,,,0.02699911966919899,1135.6336669921875,0.4289045035839081
6238,D,Dd;E,Oyono A.,Frosinone,6,5,1,6,5,1,10,10,0.01922755315899849,,,0.02284979820251465,1112.458740234375,0.3864718973636627
6660,D,Dc,Marcandalli,Genoa,6,6,0,6,6,0,14,14,0.019135218113660812,,,0.022568270564079285,1282.834716796875,0.3877760171890259
4177,D,Dd;Dc,Pavard,Inter,6,6,0,7,7,0,14,16,0.03504795581102371,,,0.06126641109585762,1142.8427734375,0.8351294994354248
5877,D,B;Ds;E,Carlos Augusto,Inter,6,7,-1,7,8,-1,20,22,0.07147354632616043,,,0.045919161289930344,1111.0875244140625,0.6404784321784973
4817,D,Ds;E,Pedraza,Lazio,6,5,1,6,5,1,14,14,0.07253322750329971,,,0.048036880791187286,1142.7760009765625,0.925978422164917
2188,D,Dd;Ds;E,Marusic,Lazio,6,6,0,6,6,0,20,23,0.027917280793190002,,,0.042099639773368835,1359.502685546875,0.7361007928848267
6990,D,Dd;E,Veiga D.,Lecce,6,5,1,6,5,1,12,12,0.02357601374387741,,,0.028650762513279915,1418.385009765625,0.8191656470298767
4502,D,Ds;E,Gallo,Lecce,6,6,0,6,6,0,12,12,0.040308643132448196,,,0.03341835364699364,1466.7801513671875,0.7709455490112305
4751,D,Dc,Tomori,Milan,6,7,-1,6,7,-1,8,8,0.03266448155045509,,,0.029049547389149666,1324.4053955078125,0.7338131070137024
6202,D,Dc,Beukema,Napoli,6,6,0,6,6,0,12,12,0.028192684054374695,,,0.0360773541033268,1333.761962890625,0.6392330527305603
2724,D,Dc,Buongiorno,Napoli,6,7,-1,6,7,-1,15,15,0.023273631930351257,,,0.0376301035284996,1363.9608154296875,0.8016334772109985
6485,D,Dd;Dc,Kristensen T.,Atalanta,6,7,-1,7,8,-1,20,22,0.04712546989321709,,,0.041224878281354904,1363.1220703125,0.7354273200035095
7329,D,Ds;E,Obrador,Sassuolo,6,6,0,6,6,0,13,13,0.036195915192365646,,,0.02749946340918541,1112.458740234375,0.480019748210907
7069,D,E,Fortini,Torino,6,5,1,5,4,1,12,12,0.029651816934347153,,,0.038975976407527924,1066.928466796875,0.33859947323799133
7564,D,Ds;Dc,Leysen F.,Sassuolo,6,5,1,7,6,1,12,14,0.014286983758211136,,,0.022560102865099907,1120.9952392578125,0.32882067561149597
4705,D,Dc,Balerdi,Roma,6,6,0,6,6,0,11,11,0.027356421574950218,,,0.02982652746140957,1302.6986083984375,0.8149088621139526
4147,D,Dc,Caleta-Car,Sassuolo,6,6,0,6,6,0,15,15,0.021764356642961502,,,0.03541284054517746,1252.395263671875,0.7412583231925964
7621,D,Dd;E,Sugawara,Cagliari,6,6,0,6,6,0,15,15,0.0881493017077446,,,0.0538034588098526,1252.579345703125,0.7613109946250916
7532,D,Dc,Kofler,Cagliari,5,5,0,5,5,0,8,8,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
7274,D,Dd;Dc,Zè Pedro,Cagliari,5,5,0,6,6,0,13,15,0.016213413327932358,,,0.022219926118850708,1146.732177734375,0.36889564990997314
6893,D,Dc,Kempf,Como,5,5,0,5,5,0,13,13,0.03221268951892853,,,0.039409056305885315,1457.2423095703125,0.7633602619171143
7294,D,Ds;Dc,Valdepenas,Fiorentina,5,6,-1,6,7,-1,16,18,0.017059065401554108,,,0.01698250323534012,1072.1474609375,0.14714021980762482
7467,D,Dc,Calvani,Frosinone,5,4,1,5,4,1,13,13,0.007835613563656807,,,0.01372873317450285,1072.1474609375,0.14714021980762482
6766,D,Ds;Dc,Kelly L.,Juventus,5,5,0,6,6,0,12,14,0.029336903244256973,,,0.03327237069606781,1306.76708984375,0.595606803894043
6632,D,Dc,Gaspar K.,Lecce,5,5,0,5,5,0,12,12,0.06015664339065552,,,0.04141063615679741,1305.4742431640625,0.9777126908302307
