Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
5823,C,T,Baldanzi,Genoa,11,11,0,10,10,0,28,25,0.08297498764176119,,,0.11405723756473315,,
7436,C,W;T,Alajbegovic,Juventus,11,12,-1,11,12,-1,42,42,0.008601647889682729,,,0.015070897483536483,,
4892,C,E;W,Saelemaekers,Milan,11,10,1,12,11,1,35,35,0.0949261961504817,,,0.12545955325721908,,
7078,C,W;T,Mastantuono,Fiorentina,11,12,-1,11,12,-1,50,50,0.03625236039049923,,,0.07948987720730273,,
6372,C,E;W,Moreira,Milan,11,12,-1,11,12,-1,45,45,0.11701739523069639,,,0.11252857529019054,,
184,C,W;T,Bernardeschi,Bologna,10,9,1,10,9,1,27,27,0.09045998705845129,,,0.20506674369306938,,
6844,C,W;T,Rowe,Atalanta,10,11,-1,10,11,-1,40,42,0.05774964193176282,,,0.11703102213183515,,
6151,C,M;C,Perrone,Como,10,10,0,11,11,0,34,39,0.055581833984898896,,,0.04060773235206541,,
2848,C,C;T,Frattesi,Lazio,10,7,3,10,7,3,75,75,0.06708700583953607,,,0.20024825970593252,,
4220,C,C,Zambo Anguissa,Napoli,10,11,-1,10,11,-1,41,41,0.09198808323591948,,,0.10560407300528728,,
7223,C,W;T,Vergara,Napoli,10,8,2,10,8,2,35,35,0.054672124502003976,,,0.048317460749592436,,
5589,C,M;C,Konè M.,Roma,10,10,0,11,11,0,42,45,0.0465368798517279,,,0.051767586053986306,,
5844,C,C;T,Thorstvedt,Sassuolo,10,10,0,10,10,0,39,39,0.08041784477077032,,,0.10006495867904865,,
6274,C,E;C,Diouf,Inter,9,8,1,10,9,1,43,45,0.034257687533421344,,,0.08652601034821647,,
7070,C,C,Sucic P.,Inter,9,8,1,9,8,1,21,21,0.07012162965085161,,,0.08234791234331695,,
827,C,M;C,Locatelli,Juventus,9,8,1,10,9,1,33,38,0.053524699395914616,,,0.05036203780309542,,
5562,C,C,Thuram K.,Juventus,9,10,-1,9,10,-1,25,25,0.1398101683529584,,,0.24115266427789864,,
5500,C,W;A,Cancellieri,Lazio,9,9,0,8,8,0,25,25,0.08544358443664878,,,0.1215933613518351,,
6398,C,W;A,Isaksen,Lazio,9,9,0,8,8,0,22,22,0.07195842491168725,,,0.16393786079005193,,
5878,C,T,Colpani,Monza,9,8,1,8,7,1,15,13,0.055682997848642495,,,0.14734121759863275,,
536,C,W,Politano,Napoli,9,10,-1,8,9,-1,37,37,0.10656429820743046,,,0.16349921565895018,,
779,C,M;C,Cristante,Roma,9,8,1,10,9,1,29,32,0.04983804303123371,,,0.061599586732489504,,
5735,C,W;T,Volpato,Sassuolo,9,7,2,9,7,2,25,25,0.09194322475477269,,,0.11765149561198135,,
5888,C,C;T,Casadei,Torino,9,10,-1,9,10,-1,27,27,0.05963952763986431,,,0.1033571165760881,,
530,C,C;T,Pellegrini Lo.,Roma,9,10,-1,9,10,-1,20,20,0.07658750746203097,,,0.06103553799667249,,
2077,C,C;T,Pasalic,Atalanta,8,9,-1,8,9,-1,22,22,0.09947216303430889,,,0.09444231342916426,,
2765,C,T,Odgaard,Bologna,8,8,0,7,7,0,17,15,0.09686742252621211,,,0.1813955904425759,,
4436,C,W;A,Cambiaghi,Bologna,8,8,0,7,7,0,25,25,0.10620932465517206,,,0.09628425207185116,,
1933,C,C,Mandragora,Torino,8,9,-1,8,9,-1,23,23,0.09149715147520367,,,0.12410832489791669,,
7472,C,M;C,Calò,Frosinone,8,7,1,9,8,1,27,32,0.007167524407176595,,,0.012558178030150502,,
4856,C,E;W,Chukwueze,Milan,8,6,2,7,5,2,22,20,0.10216435348909152,,,0.15994910954644803,,
4287,C,M;C,Lobotka,Napoli,8,7,1,9,8,1,23,28,0.026979542122663635,,,0.03021234376723633,,
6717,C,C,Konè I.,Sassuolo,8,9,-1,8,9,-1,20,20,0.04087857732255208,,,0.04547329507376018,,
7551,C,W;T,Schmid,Frosinone,8,8,0,8,8,0,25,25,0.08778908473880667,,,0.09257804693360078,,
7618,C,W;A,Hutchinson,Milan,8,8,0,7,7,0,25,22,0.0880894258030151,,,0.0938937169940848,,
6833,C,W;A,Mbangula,Bologna,8,8,0,8,8,0,28,28,0.055957535396477104,,,0.07234008518292714,,
