Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
5319,C,sohm,Fiorentina,11,12,-1,34,simon sohm,ch SUI,MF,Parma,23.0,2001.0,37,36,2989,33.2,4,0,4,4,0,0,3.1,2.1,3.1,5.2,34,13,38.2,1.02,0.39,1050,1233,85.2,140,20,24,69,67,78,2.35,3,0.09,28,26,14,54,36,0,1467,876,33,23,6,0,,,,,,,,,,,,,,,,,,,,,,32.732391405949684,34.24124513618677
6538,C,onana,Genoa,2,2,0,4,amadou onana,be BEL,MF,Aston Villa,22.0,2001.0,26,20,1617,18.0,3,0,3,3,0,0,2.1,0.7,2.1,2.8,17,6,35.3,0.95,0.33,703,802,87.7,75,10,12,29,16,32,1.78,4,0.22,55,26,11,81,41,3,998,553,11,9,4,0,,,,,,,,,,,,,,,,,,,,,,27.644711406834645,33.85214007782101
5504,C,coulibaly,Lecce,8,7,1,14,lassana coulibaly,ml MLI,MF,Lecce,28.0,1996.0,38,30,2667,29.6,1,0,1,1,0,0,0.8,0.9,0.8,1.7,9,3,33.3,0.3,0.1,775,955,81.2,93,12,7,21,49,46,1.55,2,0.07,48,18,23,66,46,1,1229,623,33,19,3,0,,,,,,,,,,,,,,,,,,,,,,26.802618370072928,33.85214007782101
6717,C,kone,Sassuolo,5,6,-1,12,jonathan ikone,fr FRA,FW,Como,26.0,1998.0,13,5,540,6.0,2,0,2,2,0,0,1.8,0.2,1.8,1.9,16,5,31.3,2.67,0.83,136,168,81.0,17,2,7,23,55,14,2.33,3,0.5,15,0,3,15,1,1,257,168,9,14,1,0,,,,,,,,,,,,,,,,,,,,,,28.064236903310015,33.463035019455255
6898,C,keita,Parma,6,6,0,10,keita balde,sn SEN,FW,Monza,29.0,1995.0,11,8,638,7.1,2,0,2,2,0,0,1.1,0.2,1.1,1.2,14,5,35.7,1.97,0.71,199,223,89.2,35,4,8,19,29,21,2.97,0,0.0,1,2,4,3,0,0,289,216,20,15,2,0,,,,,,,,,,,,,,,,,,,,,,28.396096228142227,33.0739299610895
5422,C,zalewski,Atalanta,7,6,1,25,nicola zalewski,pl POL,"DF,FW",Roma,22.0,2002.0,12,4,533,5.9,0,0,0,0,0,0,0.3,0.8,0.3,1.1,5,0,0.0,0.84,0.0,194,265,73.2,17,10,14,31,54,20,3.37,0,0.0,8,4,12,12,8,2,325,193,8,4,0,0,,,,,,,,,,,,,,,,,,,,,,32.42929322260294,32.68482490272373
4973,C,mckennie,Juventus,9,10,-1,14,weston mckennie,us USA,"MF,DF",Juventus,25.0,1998.0,32,27,2310,25.7,2,4,6,2,0,0,2.9,3.6,2.9,6.5,22,8,36.4,0.86,0.31,928,1117,83.1,101,32,22,28,153,60,2.34,9,0.35,33,14,19,47,37,0,1350,719,41,26,3,0,,,,,,,,,,,,,,,,,,,,,,32.1969916952204,32.68482490272373
7149,C,marin,Pisa,6,6,0,11,marin ljubicic,hr CRO,"FW,MF",Union Berlin,22.0,2002.0,13,1,281,3.1,1,1,2,1,0,0,0.4,0.6,0.4,1.1,2,1,50.0,0.64,0.32,34,60,56.7,6,2,1,1,19,9,2.88,3,0.96,2,0,3,2,7,0,90,52,6,1,1,0,,,,,,,,,,,,,,,,,,,,,,26.855715862046083,32.295719844357976
4287,C,lobotka,Napoli,9,9,0,24,stanislav lobotka,sk SVK,MF,Napoli,29.0,1994.0,32,31,2636,29.3,0,1,1,0,0,0,0.3,1.2,0.3,1.5,7,0,0.0,0.24,0.0,1600,1762,90.8,118,17,20,30,32,54,1.84,6,0.2,47,21,10,68,57,1,1967,1123,13,12,3,0,,,,,,,,,,,,,,,,,,,,,,32.54820948066781,32.295719844357976
6010,C,fazzini,Fiorentina,11,11,0,22,jacopo fazzini,it ITA,MF,Empoli,21.0,2003.0,20,16,1383,15.4,4,1,5,4,0,0,3.1,0.5,3.1,3.6,27,9,33.3,1.76,0.59,305,426,71.6,49,12,10,34,88,49,3.19,7,0.46,32,6,19,38,24,0,639,364,39,33,1,1,,,,,,,,,,,,,,,,,,,,,,30.872596439702544,32.295719844357976
6980,C,venturino,Genoa,3,3,0,10,lorenzo venturino,it ITA,"FW,MF",Genoa,18.0,2006.0,6,1,167,1.9,2,0,2,2,0,0,0.7,0.2,0.7,0.9,4,3,75.0,2.16,1.62,28,55,50.9,7,3,3,5,10,6,3.23,1,0.54,5,0,8,5,5,0,86,39,8,1,0,0,,,,,,,,,,,,,,,,,,,,,,26.3736901927273,32.295719844357976
6722,C,gronbaek,Genoa,11,12,-1,32,albert gronbaek,dk DEN,"FW,MF",Southampton,23.0,2001.0,4,2,143,1.6,0,0,0,0,0,0,0.1,0.0,0.1,0.1,2,0,0.0,1.26,0.0,13,18,72.2,1,1,0,1,3,2,1.26,0,0.0,4,0,1,4,1,0,38,18,5,4,0,0,,,,,,,,,,,,,,,,,,,,,,25.420424282146797,31.1284046692607
6151,C,perrone,Como,8,8,0,19,maximo perrone,ar ARG,MF,Como,21.0,2003.0,26,20,1857,20.6,0,3,3,0,0,0,0.9,2.2,0.9,3.1,10,2,20.0,0.48,0.1,1214,1343,90.4,98,30,16,16,19,49,2.37,4,0.19,38,20,14,58,43,0,1502,934,20,16,6,0,,,,,,,,,,,,,,,,,,,,,,28.27441447570375,31.1284046692607
2766,C,zaniolo,Udinese,11,11,0,27,nicolo zaniolo,it ITA,FW,Fiorentina,25.0,1999.0,9,4,343,3.8,0,0,0,0,0,0,0.7,0.2,0.6,0.9,9,4,44.4,2.36,1.05,52,74,70.3,5,5,1,8,20,10,2.42,0,0.0,3,0,4,3,2,0,131,100,18,10,2,1,,,,,,,,,,,,,,,,,,,,,,26.91600363939059,30.739299610894943
5858,C,ferguson,Bologna,10,11,-1,23,evan ferguson,ie IRL,FW,West Ham,19.0,2004.0,8,1,156,1.7,0,0,0,0,0,0,0.6,0.3,0.6,0.9,5,1,20.0,2.88,0.58,28,37,75.7,1,2,0,1,7,4,2.31,0,0.0,3,1,0,4,1,0,66,31,8,5,0,0,,,,,,,,,,,,,,,,,,,,,,28.559813495059437,30.350194552529185
4677,C,cornet,Genoa,7,7,0,20,maxwel cornet,ci CIV,FW,Southampton,27.0,1996.0,2,1,72,0.8,0,0,0,0,0,0,0.2,0.0,0.2,0.2,1,0,0.0,1.25,0.0,17,22,77.3,0,0,0,1,5,0,0.0,0,0.0,5,0,0,5,2,0,34,16,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,24.784913675093122,30.350194552529185
6633,C,pierret,Lecce,6,6,0,12,balthazar pierret,fr FRA,MF,Lecce,24.0,2000.0,30,21,1723,19.1,0,0,0,0,0,0,0.2,0.4,0.2,0.6,6,0,0.0,0.31,0.0,696,833,83.6,82,10,5,13,13,39,2.04,0,0.0,51,19,6,70,31,1,1020,512,25,10,2,0,,,,,,,,,,,,,,,,,,,,,,23.413781564661406,29.571984435797667
5036,C,caqueret,Como,11,12,-1,19,maxence caqueret,fr FRA,MF,Como,24.0,2000.0,18,15,1087,12.1,2,3,5,2,0,0,0.8,1.5,0.8,2.4,8,3,37.5,0.66,0.25,472,568,83.1,76,19,17,15,46,41,3.4,8,0.66,36,7,15,43,4,1,698,455,29,17,4,0,,,,,,,,,,,,,,,,,,,,,,26.507263570972263,29.18287937743191
6889,C,anjorin,Torino,9,10,-1,23,faustino anjorin,eng ENG,MF,Empoli,22.0,2001.0,22,14,1114,12.4,2,3,5,2,0,0,0.9,1.7,0.9,2.5,23,7,30.4,1.86,0.57,355,441,80.5,55,17,13,28,35,32,2.59,5,0.4,29,13,8,42,20,0,628,327,25,11,3,0,,,,,,,,,,,,,,,,,,,,,,26.092439414932013,29.18287937743191
