Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
5353,D,balogh,Parma,3,3,0,7,botond balogh,hu HUN,DF,Parma,22.0,2002.0,29,23,2053,22.8,0,1,1,0,0,0,0.4,0.1,0.4,0.5,3,0,0.0,0.13,0.0,861,964,89.3,37,2,0,7,1,8,0.35,2,0.09,36,25,8,61,141,2,1228,621,9,1,5,0,,,,,,,,,,,,,,,,,,,,,,28.83190735569277,30.65326633165829
6869,D,ramon,Como,5,4,1,13,ramon hendriks,nl NED,DF,Stuttgart,23.0,2001.0,25,10,1154,12.8,0,1,1,0,0,0,0.6,1.0,0.6,1.6,5,1,20.0,0.39,0.08,576,688,83.7,36,6,5,8,22,13,1.01,2,0.16,20,19,9,39,63,0,839,418,6,4,3,0,,,,,,,,,,,,,,,,,,,,,,30.113883257909148,29.648241206030157
6893,D,kempf,Como,6,5,1,15,marc oliver kempf,de GER,DF,Como,29.0,1995.0,31,30,2615,29.1,0,0,0,0,0,0,1.6,1.2,1.6,2.7,20,4,20.0,0.69,0.14,1498,1718,87.2,85,10,9,17,4,34,1.17,2,0.07,30,33,12,63,136,4,2010,1136,12,5,6,1,,,,,,,,,,,,,,,,,,,,,,29.60089742656943,29.145728643216085
5532,D,bradaric,Verona,4,4,0,8,domagoj bradaric,hr CRO,DF,Hellas Verona,24.0,1999.0,28,24,1933,21.5,1,0,1,1,0,0,0.8,2.2,0.8,3.0,9,4,44.4,0.42,0.19,565,780,72.4,46,25,16,30,83,47,2.19,1,0.05,36,15,25,51,49,1,988,426,30,11,6,0,,,,,,,,,,,,,,,,,,,,,,24.165732881558714,29.145728643216085
5678,D,holm,Bologna,7,8,-1,15,emil holm,se SWE,DF,Bologna,24.0,2000.0,21,12,1137,12.6,1,1,2,1,0,0,0.6,0.7,0.6,1.3,10,3,30.0,0.79,0.24,560,735,76.2,49,10,14,29,43,28,2.22,2,0.16,34,10,12,44,51,1,909,442,26,14,3,0,,,,,,,,,,,,,,,,,,,,,,31.06335771387686,29.145728643216085
6965,D,lovik,Parma,3,2,1,11,mathias lovik,no NOR,"DF,FW",Parma,20.0,2003.0,6,0,92,1.0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,0.0,0.98,0.0,40,54,74.1,1,1,1,0,6,1,0.98,0,0.0,1,2,2,3,3,0,70,42,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,27.412326459857894,29.145728643216085
418,D,goldaniga,Como,4,4,0,6,edoardo goldaniga,it ITA,DF,Como,30.0,1993.0,32,28,2532,28.1,1,0,1,1,0,0,2.5,0.3,2.5,2.8,12,5,41.7,0.43,0.18,1310,1517,86.4,81,4,6,20,8,25,0.89,3,0.11,34,33,10,67,102,3,1757,1008,10,8,12,1,,,,,,,,,,,,,,,,,,,,,,28.57492576389,28.140703517587944
2653,D,lykogiannis,Bologna,5,5,0,12,charalambos lykogiannis,gr GRE,DF,Bologna,30.0,1993.0,17,12,1048,11.6,0,4,4,0,0,0,0.2,1.6,0.2,1.8,6,2,33.3,0.52,0.17,504,706,71.4,49,19,13,10,36,33,2.83,5,0.43,23,11,20,34,41,1,810,368,7,3,3,0,,,,,,,,,,,,,,,,,,,,,,29.984205677113522,28.140703517587944
6900,D,rui modesto,Udinese,3,3,0,6,rui modesto,ao ANG,"DF,MF",Udinese,24.0,1999.0,20,4,608,6.8,0,1,1,0,0,0,0.5,0.8,0.5,1.3,3,2,66.7,0.44,0.3,231,310,74.5,22,14,6,16,43,23,3.4,2,0.3,16,8,8,24,13,0,388,166,9,3,1,0,,,,,,,,,,,,,,,,,,,,,,27.26842297385955,28.140703517587944
5168,D,tsimikas,Roma,4,4,0,8,kostas tsimikas,gr GRE,DF,Liverpool,28.0,1996.0,18,9,837,9.3,0,1,1,0,0,0,0.4,2.1,0.4,2.5,4,2,50.0,0.43,0.22,550,654,84.1,76,16,12,17,43,31,3.33,2,0.21,31,11,9,42,20,0,741,368,6,4,2,0,,,,,,,,,,,,,,,,,,,,,,31.293593983357404,27.638190954773872
