team,season,wins,loss,draws,goals,goals_per90,goals_against,goals_against_per90,goals_fh,goals_sh,goals_against_fh,goals_against_sh,ts_goals,ts_goals_against
Monza,2024-25,3,25,9,28,0.7567567567567568,67,1.8108108108108107,15,13,30,37,"[0, 0, 2, 1, 1, 0, 1, 3, 2, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 2, 1]","[0, 1, 2, 1, 2, 2, 1, 0, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 3, 2, 1, 5, 0, 4, 2, 3, 1, 3, 3, 1, 1, 2, 4, 1, 3]"
Fiorentina,2024-25,18,11,8,57,1.5405405405405406,39,1.054054054054054,35,22,18,21,"[1, 0, 2, 2, 2, 0, 2, 6, 5, 1, 1, 3, 2, 1, 0, 1, 2, 0, 1, 1, 2, 2, 3, 1, 0, 0, 1, 1, 3, 1, 2, 0, 2, 2, 0, 1, 3]","[1, 0, 2, 3, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 2, 3, 2, 1, 1, 1, 0, 2, 2, 1, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 2]"
Roma,2024-25,19,9,9,54,1.4594594594594594,35,0.9459459459459459,21,33,17,18,"[0, 1, 0, 1, 3, 2, 1, 0, 1, 1, 2, 2, 0, 0, 4, 0, 5, 1, 2, 2, 3, 2, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]","[0, 2, 0, 1, 0, 1, 1, 1, 5, 0, 3, 3, 1, 2, 1, 2, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1]"
Atalanta,2024-25,22,7,8,76,2.054054054054054,34,0.918918918918919,36,40,18,16,"[4, 1, 0, 3, 2, 1, 5, 2, 6, 2, 3, 2, 3, 2, 2, 1, 3, 1, 0, 1, 2, 2, 1, 5, 0, 5, 0, 4, 0, 0, 0, 2, 1, 1, 4, 2, 3]","[0, 2, 4, 2, 3, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 0, 1, 2]"
Bologna,2024-25,16,7,14,56,1.5135135135135136,44,1.1891891891891893,16,40,19,25,"[1, 0, 1, 2, 2, 1, 0, 2, 2, 1, 3, 0, 3, 2, 1, 2, 2, 2, 2, 3, 1, 2, 0, 3, 0, 2, 2, 2, 5, 1, 1, 0, 1, 0, 1, 1, 2]","[1, 3, 1, 2, 1, 1, 0, 2, 0, 0, 2, 3, 0, 2, 0, 0, 3, 2, 2, 1, 1, 0, 0, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 3, 3]"
Cagliari,2024-25,9,19,9,40,1.0810810810810811,54,1.4594594594594594,15,25,24,30,"[0, 1, 0, 0, 0, 3, 1, 3, 0, 0, 1, 3, 2, 1, 0, 0, 1, 0, 2, 1, 4, 0, 1, 2, 0, 0, 1, 1, 0, 3, 0, 1, 1, 2, 1, 1, 3]","[0, 1, 1, 4, 2, 2, 1, 2, 2, 2, 2, 3, 2, 0, 1, 1, 2, 3, 1, 1, 1, 2, 2, 1, 0, 1, 2, 1, 1, 0, 0, 3, 2, 0, 2, 3, 0]"
Como,2024-25,13,14,10,49,1.3243243243243243,50,1.3513513513513513,21,28,17,33,"[0, 1, 0, 2, 3, 3, 1, 1, 0, 1, 0, 1, 0, 1, 2, 2, 0, 2, 1, 1, 4, 1, 0, 1, 2, 2, 1, 1, 1, 1, 3, 1, 3, 1, 1, 3, 1]","[3, 1, 1, 2, 2, 2, 3, 1, 1, 5, 1, 1, 2, 1, 2, 0, 2, 0, 1, 2, 1, 2, 2, 2, 0, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0, 1, 1]"
Empoli,2024-25,6,18,13,32,0.8648648648648649,57,1.5405405405405406,17,15,21,36,"[0, 2, 1, 0, 2, 0, 1, 0, 1, 0, 1, 1, 1, 0, 4, 0, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 2, 3]","[0, 1, 1, 0, 0, 0, 2, 1, 1, 3, 0, 1, 1, 3, 1, 1, 3, 2, 1, 3, 3, 1, 4, 2, 3, 5, 1, 1, 1, 1, 0, 3, 2, 2, 1, 1, 1]"
Inter,2024-25,23,5,9,77,2.081081081081081,35,0.9459459459459459,38,39,16,19,"[2, 2, 4, 1, 1, 3, 3, 1, 4, 3, 1, 1, 5, 3, 6, 2, 3, 1, 2, 3, 4, 1, 0, 2, 0, 1, 1, 3, 2, 2, 2, 3, 0, 0, 1, 2, 2]","[2, 0, 0, 1, 2, 2, 2, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 3, 1, 1, 0, 1, 2, 0, 1, 2, 1, 1, 1, 0, 0, 2]"
Genoa,2024-25,9,15,13,34,0.918918918918919,48,1.2972972972972974,9,25,18,30,"[2, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 2, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2]","[2, 0, 2, 1, 2, 3, 5, 2, 3, 1, 0, 1, 2, 0, 0, 0, 2, 1, 0, 0, 3, 0, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, 2, 1, 2, 2, 3]"
